;lfdn;v_250;v_279;tag
293;304;Weak access to customer needs and / or (internal) business information;"strong division structure;  silo thinking ";Insufficient agility
294;437;Weak access to customer needs and / or (internal) business information;"lack of customer involvement; lack of planning";Missing customer involvement
295;723;Weak access to customer needs and / or (internal) business information;No idea;NotCodable
296;768;Weak access to customer needs and / or (internal) business information;company privacy policy takes longer to get information;Unavailability of stakeholder
297;1006;Weak access to customer needs and / or (internal) business information;Delay in required feedback;Workload of customer
298;1187;Weak access to customer needs and / or (internal) business information;There are too many heterogeneous clients;Many customers
299;1283;Weak access to customer needs and / or (internal) business information;Innappropriate people used as stakeholders, lack of knowledge;Weak qualification of stakeholders
300;1526;Weak access to customer needs and / or (internal) business information;Weak domain knowledge;Missing domain knowledge
301;1650;Weak access to customer needs and / or (internal) business information;The value of the project to the customer/business.;Insufficient information
302;1669;Weak access to customer needs and / or (internal) business information;Lack of collaboration on the part of the client;Missing customer involvement
303;1698;Weak access to customer needs and / or (internal) business information;Weak access to customer needs;Insufficient information
304;1718;Weak access to customer needs and / or (internal) business information;Poor access to the customer ;Missing customer involvement
305;1791;Weak access to customer needs and / or (internal) business information;df;NotCodable
306;1828;Weak access to customer needs and / or (internal) business information;Communication flaws between the project and the customer;Communication flaws between team and customer
307;146;Weak knowledge about customer's application domain;think they can make do without the user. WRONG!;Missing customer involvement
308;359;Weak knowledge about customer's application domain;Because domain knowledge is insufficient, misunderstand specification.;Missing domain knowledge
309;523;Weak knowledge about customer's application domain;There is no meeting to give an overview the business area;Communication flaws between team and customer
310;573;Weak knowledge about customer's application domain;Makes it difficult to fully understand customers' requirements;Missing domain knowledge
311;626;Weak knowledge about customer's application domain;New team for project;Lack of experience of RE team members
312;758;Weak knowledge about customer's application domain;For some products we rely quite a bit on customer's intuition;Missing domain knowledge
313;856;Weak knowledge about customer's application domain;Systems with more than 30 years of use by the customer, little documentation and difficulty in understanding the rules for new team members;Lack of experience of RE team members
314;985;Weak knowledge about customer's application domain;The domain is gastronomy (food and health), but none have knowledge about this topic;Missing domain knowledge
315;1288;Weak knowledge about customer's application domain;a lot of customers;Many customers
316;1331;Weak knowledge about customer's application domain;restricted information source, very distributed customer knowledge , competing activities;Insufficient information
317;1358;Weak knowledge about customer's application domain;Lack of training;Poor project management
318;1805;Weak knowledge about customer's application domain;The domain is very difficult;Missing domain knowledge
319;1415;Weak relationship between customer and project lead;The client does not master that field;Missing domain knowledge
320;1462;Weak relationship between customer and project lead;There is no communication with the company;Communication flaws between team and customer
321;1482;Weak relationship between customer and project lead;There are few meetings with the customer;Communication flaws between team and customer
