lfdn;documentation
1141;using quantified textual requirements
1141;using quantified textual requirements
1141;using quantified textual requirements
1141;using quantified textual requirements
1141;using quantified textual requirements
1291;using quantified textual requirements
1316;using quantified textual requirements
1697;Using quantified textual requirements
506;using quantified textual requirements, diagrams, following any specific guideline, standard or practice.
506;using quantified textual requirements, diagrams, following any specific guideline, standard or practice.
506;using quantified textual requirements, diagrams, following any specific guideline, standard or practice.
506;using quantified textual requirements, diagrams, following any specific guideline, standard or practice.
506;using quantified textual requirements, diagrams, following any specific guideline, standard or practice.
506;using quantified textual requirements, diagrams, following any specific guideline, standard or practice.
165;using semi-quantified textual requirements ( shall-statements )
165;using semi-quantified textual requirements ( shall-statements )
165;using semi-quantified textual requirements ( shall-statements ) in reference to safety rules
1039;using textual requirements based on the restrictions set by the customer
945;Using unmeasurable requirements textual
945;Using unmeasurable textual requirements 
912;Usually a questionnaire for the developers and tends to be subjective
912;Usually managed by external specialists, unless there is an obvious risk, which is directly handled at project level
912;Usually standard requirements, based on experience
1423;VALIDATION CAPACITY
1727;WAIT TIME
786;Ways to conserve memory usage is implemented into the documentation.
1620;We are currently working on refining this.
960;We are placing the data in share portal accessible to only right receipients 
1354;we do not document, due to the reduction of documentation
1676;we document all these requirements on Confluence, on a page or space specific to what we're building.
1676;we document all these requirements on Confluence, on a page or space specific to what we're building.
1676;we document all these requirements on Confluence, on a page or space specific to what we're building.
1676;we document all these requirements on Confluence, on a page or space specific to what we're building.
1676;we document all these requirements on Confluence, on a page or space specific to what we're building.
710;We document the Accessibility norm to be used.
1969;We document these generally in terms of a base level of reliability that is acceptable to the problem.  (i.e. if reliability falls below the stated minimum, it is considered to be a failure)
1118;We register the requirements into the agile tool (e.g. AgileFant) we choose.
1076;What platforms are supported and which ones need to be active
1076;What type of application server, fault tracing methods, Logs
1033;When explained in acceptance criteria
1703;White box testing is pefformed to check compatibility in the information
1486;wireframes and flowcharts
968;With a document that specifies the security mechanisms being deployed 
968;With document specifying the required settings and mechanisms to be implemented
968;With document that specifies all capabilities
968;With document that specifies the platforms to be used
968;With interface specification document
1406;With safety requirements
524;With sketches of the user interface, following standards, usability testing
1482;WRITTEN DOCUMENTATION OF PERCENTAGE OF COMPATIBILITY.
1482;WRITTEN DOCUMENTATION of the percentage of performance
292;xFMEA, reliability studies, risk reviews
