lfdn;problem;response
239;Incomplete or hidden requirements;Same as above 
263;Incomplete or hidden requirements;"weak processes; complexity of project"
267;Incomplete or hidden requirements;Too short time for analyzing, not enough trust full relationship with customers 
268;Incomplete or hidden requirements;Requirements were written long ago
283;Incomplete or hidden requirements;is it a requirement or not
330;Incomplete or hidden requirements;Lack of customer involvement, varying degree of experience and business' knowledge of team people
359;Incomplete or hidden requirements;There are specifications that the customer himself does not recognize.
364;Incomplete or hidden requirements;"not enough time for doing a complete RE; RE was done by the way"
378;Incomplete or hidden requirements;missing specification of functions of legacy system
416;Incomplete or hidden requirements;Non professional requirement analyst
427;Incomplete or hidden requirements;Too little time spent in the pre-study phase for some areas
437;Incomplete or hidden requirements;lack of applied techniques
444;Incomplete or hidden requirements;Wrong specification.
453;Incomplete or hidden requirements;The customer think on the fly
461;Incomplete or hidden requirements;lack of time, trouble communicating with the client, client does not provide complete information
467;Incomplete or hidden requirements;Team inability to help the client for understand and identify their needs
479;Incomplete or hidden requirements;"Implicit knowledge; No teaching of the team members in requirements engineering"
482;Incomplete or hidden requirements;Sometime customer has hidden requirements which tend to be explicit requirements 
485;Incomplete or hidden requirements;The tendency in requirements specification is to think that who collects the information has the same knowledge as who writes it.
489;Incomplete or hidden requirements;not enough time
506;Incomplete or hidden requirements;not define requirement in detail
523;Incomplete or hidden requirements;Lack of an analyst and a poorly written document
524;Incomplete or hidden requirements;Elicitation not realized correctly
525;Incomplete or hidden requirements;the solution doesnt take into account certain hidden request of functionality
534;Incomplete or hidden requirements;Little time
541;Incomplete or hidden requirements;ChangeRequests are required at the end
545;Incomplete or hidden requirements;time and knowledge
549;Incomplete or hidden requirements;Sometimes additional requirements only occur once you delve deeper into the initial requirements
572;Incomplete or hidden requirements;requirements not defined upfront and aligned to the goal
572;Incomplete or hidden requirements;sorry suplication
573;Incomplete or hidden requirements;Can lead to incomplete solutions
626;Incomplete or hidden requirements;Lack of domain knowledge
637;Incomplete or hidden requirements;Legacy requirements to be implemented in new application.
640;Incomplete or hidden requirements;Extra effort required to implement features that the client simply did not request
649;Incomplete or hidden requirements;during workshops some participants can remains silent and just accept what is proposed
661;Incomplete or hidden requirements;It is a general customer characteristic
663;Incomplete or hidden requirements;No or incomplete understanding of requirements engineering
676;Incomplete or hidden requirements;The client is not able to define adequately their ideas
676;Incomplete or hidden requirements;The client does not clearly specify its needs
710;Incomplete or hidden requirements;shalow analysis from the product owner,lack of requirements validation with the client
719;Incomplete or hidden requirements;"To assume an interpretation as correct; do not validate the information"
729;Incomplete or hidden requirements;Interlocutory users are not correctly assigned in some cases for requirements elicitation
740;Incomplete or hidden requirements;weaknesses in processes
768;Incomplete or hidden requirements;a lot of requirements of clients are not being mentioned immediately
847;Incomplete or hidden requirements;Not enough prototyping and testing in early stages 
851;Incomplete or hidden requirements;the lack of compromise of stakeholders or the assignment of wrong people to that function lead to the situation that when end users start using the system unwanted requirements are discovered
856;Incomplete or hidden requirements;little customer availability, short timeframe to perform the analysis and delivery of the product, making the specification not very accurate
864;Incomplete or hidden requirements;inefficiency in extracting requirements from the business analyst
865;Incomplete or hidden requirements;"Lack of knowledge; Lack of interest"
870;Incomplete or hidden requirements;inexperienced Systems Analyst
894;Incomplete or hidden requirements;Rework
896;Incomplete or hidden requirements;Little experience in the requested business 
900;Incomplete or hidden requirements;Incomplete in the sense of not meeting in full the business goals
901;Incomplete or hidden requirements;because of the unavailability of customer assumes the risk of building requirements with minimal information
909;Incomplete or hidden requirements;Lack of immersion in the business and domain areas, including by the customer
910;Incomplete or hidden requirements;Teams training in the elicitation and documentation of requirements
912;Incomplete or hidden requirements;Often because the business sponsor underestimates the process impacts, and omits a stakeholder or stakeholder group
917;Incomplete or hidden requirements;insufficient time for gathering requirements, insufficient customer time, lack of customer commitment for approval of requirements / versions of the system
921;Incomplete or hidden requirements;Lack of time and a process directed to keep well specified and detailed requirements
924;Incomplete or hidden requirements;superficial understanding of the business
928;Incomplete or hidden requirements;Professionals not able to generate the requirements.
930;Incomplete or hidden requirements;The need it is not specified
932;Incomplete or hidden requirements;A clear definition of the project scope
945;Incomplete or hidden requirements;Lack of knowledge about the actual purpose of the project
947;Incomplete or hidden requirements;customers do not know what they really want at the beginning of the project
952;Incomplete or hidden requirements;so many gray ares which are not in scope
958;Incomplete or hidden requirements;Customer does not know what he wants, but he already wants the system to be adequate.
987;Incomplete or hidden requirements;more time required
990;Incomplete or hidden requirements;Delay between the requirements gathering and enforcement
1006;Incomplete or hidden requirements;Report Templates
1011;Incomplete or hidden requirements;Incomplete project preparation on the customer side.
1014;Incomplete or hidden requirements;incomplete documentation
1021;Incomplete or hidden requirements;botched analysis
1039;Incomplete or hidden requirements;Not understood by the team or not informed by the customer
1051;Incomplete or hidden requirements;Insufficient customer involvement
1062;Incomplete or hidden requirements;customers don't know what is his need
1064;Incomplete or hidden requirements;Lack of requirement engineering competence:Lack of project management competence
1066;Incomplete or hidden requirements;Customer requirements were either totally vague or extremely detailed...
1069;Incomplete or hidden requirements;including few stakholders
1076;Incomplete or hidden requirements;macro information
1091;Incomplete or hidden requirements;Problems in requirements gathering
1097;Incomplete or hidden requirements;Lack of knowledge or experience in requirements engineering
1100;Incomplete or hidden requirements;Lack of understanding of analysts / engineers on this topic
1101;Incomplete or hidden requirements;subjectivity in the documents
1105;Incomplete or hidden requirements;Lack of details
1111;Incomplete or hidden requirements;Lack of a defined methodology
1124;Incomplete or hidden requirements;Lack of know-how on how to perform the requirements description and resistance to change.
1126;Incomplete or hidden requirements;"Lack of experience in performing requirements discovery processes; unprepared key users;"
1141;Incomplete or hidden requirements;missing experience on existing solutions on both sides customer and also concrator 
1159;Incomplete or hidden requirements;HIDDEN REQUIREMENTS
1166;Incomplete or hidden requirements;SAVINGS
1168;Incomplete or hidden requirements;Customer does not express their needs in detail
1189;Incomplete or hidden requirements;Environment with variable conditions
1194;Incomplete or hidden requirements;Same explanation that inconsistent requirements.
1221;Incomplete or hidden requirements;the client does not detail out the whole process. sometimes it is necessary to observe
1223;Incomplete or hidden requirements;Little customer engagement
1225;Incomplete or hidden requirements;No review by the customer
1262;Incomplete or hidden requirements;"Lack of expertise to gather requirements;not clear idea on client side"
1279;Incomplete or hidden requirements;Similar to weak knowledge of the customer domain
1289;Incomplete or hidden requirements;Do to he leak of expereinced business specialists often onl y simple cases are in discussion
1290;Incomplete or hidden requirements;Nö requirement dokument
1316;Incomplete or hidden requirements;requirement grooming dot done accurate enough
1331;Incomplete or hidden requirements;Unavailability of people, short timeframe, customer is in a hurry
1340;Incomplete or hidden requirements;Poor communication
1341;Incomplete or hidden requirements;Customers do not know what they want
1349;Incomplete or hidden requirements;Customer has no clear what he/she needs
1352;Incomplete or hidden requirements;LACK OF DOCUMENTATION
1358;Incomplete or hidden requirements;Customers do not provide complete information
1359;Incomplete or hidden requirements;The client does not express himself clearly
1383;Incomplete or hidden requirements;"They are generally given by the unwillingness of analysts who write requirements (much copy - paste of stories that are similar, unrevised are not exactly the same); Lack of test data to use"
1402;Incomplete or hidden requirements;Communication and problem analysis skill sets weak in sales/marketing
1403;Incomplete or hidden requirements;incomplete project specification and/or goals
1411;Incomplete or hidden requirements;lecagy components with business logic which is not yet fully understood
1413;Incomplete or hidden requirements;Customers do not know what they want
1416;Incomplete or hidden requirements;The process is not indicated at all
1422;Incomplete or hidden requirements;Weak access between the customer and the information
1426;Incomplete or hidden requirements;requirements are formulated by customer, who has little or no experience
1433;Incomplete or hidden requirements;The client does not detail everything
1435;Incomplete or hidden requirements;Requirements change
1449;Incomplete or hidden requirements;"misunderstanding; timing problem"
1455;Incomplete or hidden requirements;MEETING FAILED REQUIREMENTS
1457;Incomplete or hidden requirements;End users do not participate in the requirements
1459;Incomplete or hidden requirements;Miscommunication in elicitation requirements
1460;Incomplete or hidden requirements;Training
1462;Incomplete or hidden requirements;Customer does not clearly shows what he/she needs
1466;Incomplete or hidden requirements;We don't know what we don't know - until we get deep enough to learn it.
1467;Incomplete or hidden requirements;insufficient effort put in for the requirement analysis
1482;Incomplete or hidden requirements;BAD COMMUNICATION
1483;Incomplete or hidden requirements;Business ignorance
1560;Incomplete or hidden requirements;insufficient training in proper requirements illicitation and documentation
1617;Incomplete or hidden requirements;Missed something during requirements discovery phase
1621;Incomplete or hidden requirements;Specifying requirements with  it should work like this product 
1651;Incomplete or hidden requirements;Unknown technical debt issues from existing code. 
1668;Incomplete or hidden requirements;They are not obvious and come from various sources
1670;Incomplete or hidden requirements;They have several sources
1676;Incomplete or hidden requirements;the requirements of a story tend to expand when we start working on a story because we notice not all our dependencies have  been fulfilled (had to deliver these dependencies  yesterday  earlier) 
1690;Incomplete or hidden requirements;The customer wants all changes immediately
1718;Incomplete or hidden requirements;"Incomplete knowledge of the customer and the best way to solve the problem; Complexity of the software solution makes it challenging to consider all aspects of what needs to be changed"
1727;Incomplete or hidden requirements;Lack of money
1741;Incomplete or hidden requirements;Assumptions of same knowledge
1744;Incomplete or hidden requirements;Angry, dissapointed customer
1753;Incomplete or hidden requirements;Stakeholders and customers assumption. For instance -  We assumed that all t-shirts are green. Thats how it always is 
1755;Incomplete or hidden requirements;Missunderstandings
1762;Incomplete or hidden requirements;Many customer in different domains
1767;Incomplete or hidden requirements;Customer assumes the requirement is implicit 
1791;Incomplete or hidden requirements;as
1804;Incomplete or hidden requirements;Hardware Specification and External Suppliers
1805;Incomplete or hidden requirements;Customer not used to formalize requirements
1810;Incomplete or hidden requirements;People left the company, causing loss of historical knowledge.
1812;Incomplete or hidden requirements;users do not realise their needs until later
1828;Incomplete or hidden requirements;lack of technical knowlede when writing the requirements
1840;Incomplete or hidden requirements;more related to not all are aware of the requirements, lack of communication
1849;Incomplete or hidden requirements;Unclear user stories
1894;Incomplete or hidden requirements;Normal result when working with successive prototyping steps where the requirements are successively deepened
1909;Incomplete or hidden requirements;Lack of methodology
1917;Incomplete or hidden requirements;insufficient documentation/briefing
1918;Incomplete or hidden requirements;Gaps in the creation, review and estimation of the requirements.
1923;Incomplete or hidden requirements;Gap in the analysis of high-level requirements
1932;Incomplete or hidden requirements;knowledge gaps and experience about writing requirements
1933;Incomplete or hidden requirements;challenges in the actual deployment
1941;Incomplete or hidden requirements;Lack of time
1961;Incomplete or hidden requirements;product owners know nothing about the product
1962;Incomplete or hidden requirements;"Difficult to know to how detailed the requirements should be;"
1965;Incomplete or hidden requirements;Implicit assumption that the technology provider knows all aspects of the client's business
1969;Incomplete or hidden requirements;Basic misunderstanding of the goals of analysis and how abstraction hides complexity. 
93;Inconsistent requirements;"no uniform processes; lack of knowledge of the own process"
119;Inconsistent requirements;customer unaware of design issues
170;Inconsistent requirements;scarce documentation
179;Inconsistent requirements;Because the client does not know what he/she wants
199;Inconsistent requirements;Insufficient time spent in development and lack of proper review
210;Inconsistent requirements;requirements are not well taken
263;Inconsistent requirements;complexity of project (lack of understanding the objectives and constraints)
268;Inconsistent requirements;Too much unspecified requirements
283;Inconsistent requirements;well developed and tested area's of the product vs weaker area's
304;Inconsistent requirements;to many sources or BAs
359;Inconsistent requirements;There are businesses that operate at the discretion of workers.
370;Inconsistent requirements;"requirments not in line with other similar products; change of their strategy"
372;Inconsistent requirements;Incompatible business goals
482;Inconsistent requirements;Dependency between many requirements 
523;Inconsistent requirements;Lack of an analyst and a poorly written document
524;Inconsistent requirements;Lack of requirements review
549;Inconsistent requirements;Features often come from a range of customers/people and sometimes we don't get all the info we need or are badly communicated
572;Inconsistent requirements;no standard for requirements defined
684;Inconsistent requirements;Things  dosent make sense
868;Inconsistent requirements;lack of time, lack of experience
870;Inconsistent requirements;misguided Systems Analyst
879;Inconsistent requirements;Imply rework.
894;Inconsistent requirements;Rework
910;Inconsistent requirements;Staff training in the elicitation and writing of requirements
916;Inconsistent requirements;unapproved and not elicited requirements 
917;Inconsistent requirements;insufficient time for gathering requirements, insufficient customer time, lack of customer commitment for approval of requirements / versions of the system
921;Inconsistent requirements;Lack of time and a process directed to keep the requirements well specified and detailed 
923;Inconsistent requirements;customer has trouble reporting the need - customer ignorance about the real need
924;Inconsistent requirements;superficial understanding of the business
929;Inconsistent requirements;Low spread of methodology
933;Inconsistent requirements;poorly written and poorly detailed requirements.
945;Inconsistent requirements;Lack of effective validation by the suppliers of the requirements
952;Inconsistent requirements;they not aware and need more demand
1011;Inconsistent requirements;Many different views or expectations of the employees on the customer side.
1012;Inconsistent requirements;Incompatible changes are made and revoked due to compatibility issues.
1021;Inconsistent requirements;botched analysis
1051;Inconsistent requirements;Insufficient coordination
1064;Inconsistent requirements;Lack of requirement engineering competence:Lack of project management competence
1066;Inconsistent requirements;Customer requirements were either totally vague or extremely detailed...
1070;Inconsistent requirements;Feature pressure of top management
1079;Inconsistent requirements;Failure to documentation
1091;Inconsistent requirements;Problems in requirements gathering
1097;Inconsistent requirements;incomplete analysis
1118;Inconsistent requirements;The same, communication problems. People do not express themselves well.
1122;Inconsistent requirements;One unrequested need logically conflicts with other needs
1124;Inconsistent requirements;Due to lack of project internal communication.
1126;Inconsistent requirements;"Lack of experience in driving requirements discovery process; unprepared key users;"
1159;Inconsistent requirements;The client does not provide adequate support
1167;Inconsistent requirements;Ambiguous requirements
1168;Inconsistent requirements;The communication between stakeholders is applied in an improperly manner
1194;Inconsistent requirements;It is very difficult to determine the impact of a change or improvement made on one or more elements of complex systems a priori.
1221;Inconsistent requirements;there is no global vision of the project
1239;Inconsistent requirements;"too many people working on requirements; time pressure"
1283;Inconsistent requirements;Lack of knowdledge,  competing factions  amongst stakeholders
1316;Inconsistent requirements;requirement grooming dot done accurate enough
1349;Inconsistent requirements;Conflicting requirements between who have been in charge of the process
1350;Inconsistent requirements;Lack of knowledge of customer's personnel
1355;Inconsistent requirements;CUSTOMERS GENERATE CONTRADICTIONS BECAUSE REQUIREMENTS ARE NOT PROPERLY DEFINED
1402;Inconsistent requirements;Communication skill sets weak in sales/marketing
1403;Inconsistent requirements;requirements are often rather informal and as a result the developer starts digging deeper which may reveal inconsistencies
1406;Inconsistent requirements;Not enough time invested in requirements
1426;Inconsistent requirements;requirements are formulated by customer, who has little or no experience
1435;Inconsistent requirements;Communication
1457;Inconsistent requirements;PROPER USE CASES DETAIL
1458;Inconsistent requirements;The requirements are raised from a non-technical point of view and many of them can not be achieved
1460;Inconsistent requirements;Lack of knowledge about requireents
1462;Inconsistent requirements;When requirements are obtained, contradictions are generated
1482;Inconsistent requirements;Misunderstanding of the requirements
1483;Inconsistent requirements;Lack of interest in the project
1560;Inconsistent requirements;insufficient trianing in requirements illicitation
1617;Inconsistent requirements;Missed requirements, several peopel developed them using their own standarts, not signed off before transition to the next phase
1624;Inconsistent requirements;At times there will a rush to do things that seem as a priority but they seem to be dud projects
1650;Inconsistent requirements;Communication between customer stakeholders
1668;Inconsistent requirements;Difficult to verbalize
1670;Inconsistent requirements;Difficult to express
1675;Inconsistent requirements;Lack of communication between analysts, design etc
1727;Inconsistent requirements;Relationships with customers
1755;Inconsistent requirements;Same as above
1759;Inconsistent requirements;informal nature of the project
1804;Inconsistent requirements;Incompatibility between hardware and software data
1805;Inconsistent requirements;Customer not used to formalize requirements
1810;Inconsistent requirements;Trying to address multiple markets with one solution
1828;Inconsistent requirements;multiple responsibles for the writing of requirements
1911;Inconsistent requirements;Lack of knowledge abstraction of the domain of the project / product as a whole
1917;Inconsistent requirements;inexperienced personal
1933;Inconsistent requirements;challenges in the actual deployment
106;Insufficient support by customer;Business operations
160;Insufficient support by customer;too expensive
179;Insufficient support by customer;Do not provide enough information
213;Insufficient support by customer;There is situations where customer representatives are too busy or less interested
278;Insufficient support by customer;lack of trust relationship, lack of negotiation
295;Insufficient support by customer;Absence of sponsor
310;Insufficient support by customer;busy customer with too many other projects running at the same time
364;Insufficient support by customer;"new product replaces jobs; employees have to learn sth. new; the (new) project is not accepted by the management "
377;Insufficient support by customer;Lack of senior engagement from the customer
425;Insufficient support by customer;Customer does not tell what he need.
427;Insufficient support by customer;Need more availability from the customer
468;Insufficient support by customer;It is critical that the customer is involved in the project and is willing to provide as much help as necessary.
512;Insufficient support by customer;not educated enough into the process and therefore does not understand the importance of commitment
518;Insufficient support by customer;The client doesn't know what he wants, just what he doesn't want
676;Insufficient support by customer;the customer does not have time to devote to the project
684;Insufficient support by customer;The work dosent move forward
710;Insufficient support by customer;customers not able/willing to allocate time to review requirements and analysis with the product owner,too many stakeholders in the customer's organization
722;Insufficient support by customer;Bad management
740;Insufficient support by customer;Availability of the client
851;Insufficient support by customer;lack of commitment to the project, they do not feel part of
856;Insufficient support by customer;Due to the low availability of the customer
889;Insufficient support by customer;The customer is not engaged with the importance of the project.
912;Insufficient support by customer;Customer belief that good software can just be wheeled in, rather than requiring their significant attention
918;Insufficient support by customer;Often the customer does not allocate time to requirements gathering and validation .
929;Insufficient support by customer;Lack of priority in resource allocation
952;Insufficient support by customer;not provide information which  they have 
958;Insufficient support by customer;busy managers do not prioritize other meetings with IT.
985;Insufficient support by customer;We do not own client, but users
997;Insufficient support by customer;is a matrix organization, where those involved maintain their functional responsibilities
1017;Insufficient support by customer;single point of contact with the customer not keeping up with the project after it begins
1033;Insufficient support by customer;The client can not outsource HIS/HER project with IT, he/she should actively participate from start to finish
1051;Insufficient support by customer;Insufficient customer motivation
1062;Insufficient support by customer;customers do not participate
1080;Insufficient support by customer;The projects are thought as urgent, but treated as secondary. What is demanded is not always used.
1091;Insufficient support by customer;Problems in the relationship between the project leader and Customer, the leader has to learn to reverse this problem.
1100;Insufficient support by customer;The customer does not see himself as part of the project
1114;Insufficient support by customer;Customer not interested in participating in the project.
1126;Insufficient support by customer;Key User does not master the subject or is not prepared to participate in the Requirements Engineering process
1204;Insufficient support by customer;Client not staffed to handle the technical project
1204;Insufficient support by customer;Staff access limited
1225;Insufficient support by customer;He/She doesn't seem interested
1283;Insufficient support by customer;Lack of time, lack of knowledge
1291;Insufficient support by customer;Customer only has interest in the functioning device not in the development of the product
1354;Insufficient support by customer;Poor support by the customer
1416;Insufficient support by customer;Lack of documentation
1419;Insufficient support by customer;Poor support
1422;Insufficient support by customer;INCOMPLETE REQUIREMENTS
1441;Insufficient support by customer;too much workload
1454;Insufficient support by customer;INSUFFICIENT SUPPORT BY CUSTOMER
1460;Insufficient support by customer;Lack of experience in web applications
1703;Insufficient support by customer;The process is not well described by the customer
1705;Insufficient support by customer;The client does not know what he/she needs
1723;Insufficient support by customer;Client-server relationship
1742;Insufficient support by customer;Customer are still supposed to handle everyday linework as usual, they don't have mandate to take decisions or require other resources internally
1820;Insufficient support by customer;Communication failure
1842;Insufficient support by customer;Client was not dedicated exclusively to my project, so sometimes he had other projects to which devoted more attention - the other projects were less important, but often were more urgent
1844;Insufficient support by customer;Client is too busy
1933;Insufficient support by customer;challenges in the actual deployment
160;Insufficient support by project lead;they don't see the effort
163;Insufficient support by project lead;"Project lead is absent at best; only communicates once per week if that"
199;Insufficient support by project lead;Supoport for these shortcuts
203;Insufficient support by project lead;They did not give the requirements engineer the conclusion they informally arrived at with the customer.
203;Insufficient support by project lead;Answer same with the above
203;Insufficient support by project lead;Answer same with the above
203;Insufficient support by project lead;Answer same with the above
203;Insufficient support by project lead;Answer same with the above
210;Insufficient support by project lead;He / She lacks time to complete many tasks
268;Insufficient support by project lead;Can't overview the stakeholders and their problems 
278;Insufficient support by project lead;lack of leadership capability and responsibility
420;Insufficient support by project lead;sometimes weak orderer of the project
468;Insufficient support by project lead;The project leader is critical in maintaining a motivated team.
661;Insufficient support by project lead;inadequate coordinator
684;Insufficient support by project lead;Missing the time for the finish date
825;Insufficient support by project lead;"Project leads changed throughout the project; Lead distracted by other work; Lack of understanding of the work done by BAs and why important"
865;Insufficient support by project lead;Lack of interest
909;Insufficient support by project lead;bit twiddler profile. Can not understand the real importance of requirements engineering in projects
945;Insufficient support by project lead;Lack of commitment
1111;Insufficient support by project lead;Politique
1139;Insufficient support by project lead;Who is in charge, he/she is busy with another project
1141;Insufficient support by project lead;lack of domain experience 
1171;Insufficient support by project lead;Lack of regular meetings
1229;Insufficient support by project lead;The client does not get involved as part of the team
1340;Insufficient support by project lead;Lack of planning
1341;Insufficient support by project lead;CUSTOMERS DO NOT TAKE THE TIME TO LEARN
1350;Insufficient support by project lead;The client does not give enough time to explain their requirements
1354;Insufficient support by project lead;There are no periodic meetings of more than 15 minutes
1413;Insufficient support by project lead;CUSTOMERS Do NOT TAKE THE TIME TO LEARN
1419;Insufficient support by project lead;WEAK RELATIONS
1458;Insufficient support by project lead;The project manager only supervise the project, but not contribute in it
1460;Insufficient support by project lead;Lack of communication within work
1620;Insufficient support by project lead;We have a lot of turnover at our company so sometimes having project leads take ownership is an institutional challenge.
1695;Insufficient support by project lead;High level of dependency
1698;Insufficient support by project lead;Poor support
1703;Insufficient support by project lead;The responsible should be part of the project TO SEE THE CONSEQUENCES OF CHANGE
1751;Insufficient support by project lead;"Short of time;"
30;Missing traceability;We sometimes implement functions without making/changing documents.
41;Missing traceability;Someone in our group is going off and making code decisions on their own and attempting to push it to production. We have told this person twice now to stop and to wait for the team to decide if it fits our requirements, but it is not helping.
48;Missing traceability;Losing track of where requirements are located. Causes developer to assume
119;Missing traceability;not being required to trace requirements
163;Missing traceability;Previous business analyst did not think it necessary
182;Missing traceability;Not having a disciplined approach 
205;Missing traceability;combination of Moving Targets and BAs (an PMs) without power to enforce rational process
210;Missing traceability;there is only one jira's task and there it stayed
230;Missing traceability;Many times, requirements are ported from previous projects and sometimes, the requirements cannot be traced to features or statement of work. Many times, it turns out the requirement is an internal quality the product should have. 
283;Missing traceability;test coverage unknown
297;Missing traceability;Missing tools
341;Missing traceability;Requirements change and its evolution is unknown
387;Missing traceability;Interfaces betwwen tools are weak for instance Enterprise Architect and test tool
427;Missing traceability;Bad ways of working
479;Missing traceability;No top down engineering in case of agility
502;Missing traceability;Not updating every single thing when there is a change.
524;Missing traceability;The specification is not performed with this characteristic in mind
572;Missing traceability;traceability is siloed
626;Missing traceability;Lack of mapping goals with outcomes
637;Missing traceability;Lack of tool for requirement documentation.
710;Missing traceability;tools and processes issue
719;Missing traceability;A methodology is not used
786;Missing traceability;Makes testing difficult.
864;Missing traceability;Poor documentation by the development team
894;Missing traceability;We do not have the vision of the impacts of a change in a requirement
910;Missing traceability;no proper tools
916;Missing traceability;Lack of documentation for seting up traceabilities (business rules, functional requirements, non-functional requirements)
924;Missing traceability;requirements writeup
952;Missing traceability;some time requirments are not traceable which belongs to projects
959;Missing traceability;We do not use tools to maintain the traceability matrix
984;Missing traceability;Missing tool support
987;Missing traceability;more time required
1010;Missing traceability;imporper use of tools
1012;Missing traceability;Requirements change during sprint but they are not documented.
1065;Missing traceability;Lack of RE Tool
1080;Missing traceability;There is no change management
1097;Missing traceability;Lack of requirements documentation
1100;Missing traceability;Makes the documentation more complex 
1105;Missing traceability;Projects are not interconnected
1163;Missing traceability;Programming before stating the problem
1187;Missing traceability;Lack of documentation refinement
1207;Missing traceability;lack of systematic approach and processes
1360;Missing traceability;The client changes his opinion
1406;Missing traceability;Not enough time invested
1435;Missing traceability;Incomplete requirements
1454;Missing traceability;Holding meetings that are too long and do not contribute anything
1486;Missing traceability;Lean startup + innovation + prototyping = lack of documentation
1697;Missing traceability;The software has many teams envolved and sometimes all the parts don't document the changes well
1718;Missing traceability;Lack of proper tools for requirements traceability
1727;Missing traceability;Lack of training
1755;Missing traceability;Difficult to follow
1804;Missing traceability;Lack of Tools 
1820;Missing traceability;Weak processes and usage of tools
1933;Missing traceability;challenges in the actual deployment
76;Moving targets (changing goals, business processes and / or requirements);Lack of corporate maturity in defining its vision
93;Moving targets (changing goals, business processes and / or requirements);"no uniform processes; organization in transition/new board of directors"
119;Moving targets (changing goals, business processes and / or requirements);customer unaware of design issues
126;Moving targets (changing goals, business processes and / or requirements);Lack of product dev knowledge
147;Moving targets (changing goals, business processes and / or requirements);Project goal is unclear
149;Moving targets (changing goals, business processes and / or requirements);Lack of hard project management
165;Moving targets (changing goals, business processes and / or requirements);lack of concerns of project stakeholders w.r.t. good project management practices
168;Moving targets (changing goals, business processes and / or requirements);The project lacks a clear goal.
170;Moving targets (changing goals, business processes and / or requirements);customers change their wishes
188;Moving targets (changing goals, business processes and / or requirements);Lack of clear view by Product Owner
205;Moving targets (changing goals, business processes and / or requirements);"academic freedom; lack of accountability; no ROI analysis required"
239;Moving targets (changing goals, business processes and / or requirements);Requirements are not clear at the beginning
259;Moving targets (changing goals, business processes and / or requirements);Hierarchical relationship
291;Moving targets (changing goals, business processes and / or requirements);Lack of vision
295;Moving targets (changing goals, business processes and / or requirements);Changing phases of supported programme
297;Moving targets (changing goals, business processes and / or requirements);"Business environment ;work culture"
310;Moving targets (changing goals, business processes and / or requirements);internal problem of the customer: many opinions and noone who can decide
330;Moving targets (changing goals, business processes and / or requirements);Many departments involved in the project, regulation
355;Moving targets (changing goals, business processes and / or requirements);Customer want to implement new functions, last not least it is critical because we have not enough team members
364;Moving targets (changing goals, business processes and / or requirements);the main goal was not clearly definied
377;Moving targets (changing goals, business processes and / or requirements);Competing business priorities resulting in project changes
384;Moving targets (changing goals, business processes and / or requirements);"customer does not follow the goal to standardize processes around the developed software; therefore software is often changed to accommodate individual and specific business requirements and processes"
387;Moving targets (changing goals, business processes and / or requirements);Because of changing legacy or interfaces
393;Moving targets (changing goals, business processes and / or requirements);long project span
425;Moving targets (changing goals, business processes and / or requirements);Customer does not get what he need in time.
437;Moving targets (changing goals, business processes and / or requirements);"dynamic business; improvements"
442;Moving targets (changing goals, business processes and / or requirements);"the regulator; the competitive pressure has an impact in the solution's update"
453;Moving targets (changing goals, business processes and / or requirements);It comes to my mind on the fly
467;Moving targets (changing goals, business processes and / or requirements);The client changes objectives and requirements due to the change in his/her context
482;Moving targets (changing goals, business processes and / or requirements);Frequent UI changes
485;Moving targets (changing goals, business processes and / or requirements);last minute emergency affecting current developments
511;Moving targets (changing goals, business processes and / or requirements);customer starts to redesign processes while project is running
545;Moving targets (changing goals, business processes and / or requirements);culture
626;Moving targets (changing goals, business processes and / or requirements);Business Market
640;Moving targets (changing goals, business processes and / or requirements);"customer resistance to change; poor execution of newly required documentation"
661;Moving targets (changing goals, business processes and / or requirements);It is a general customer characteristic
663;Moving targets (changing goals, business processes and / or requirements);"No Ideas of goals in terms of strategy; Missing or imcomplete strategy"
684;Moving targets (changing goals, business processes and / or requirements);Lever 
710;Moving targets (changing goals, business processes and / or requirements);poor communication of the product owner with the customer
722;Moving targets (changing goals, business processes and / or requirements);It happens
729;Moving targets (changing goals, business processes and / or requirements);High personnel turnover.
742;Moving targets (changing goals, business processes and / or requirements);Organisational change
758;Moving targets (changing goals, business processes and / or requirements);Context switching between products
849;Moving targets (changing goals, business processes and / or requirements);The type of contract often changed
851;Moving targets (changing goals, business processes and / or requirements);The customer wants more as he/she knows what the system is capable of doing
856;Moving targets (changing goals, business processes and / or requirements);legislation changes, priorities change with the change of government
865;Moving targets (changing goals, business processes and / or requirements);Lack of objectivity
876;Moving targets (changing goals, business processes and / or requirements);the customer just request a feature automatically
880;Moving targets (changing goals, business processes and / or requirements);Laws and ordinances that change.
916;Moving targets (changing goals, business processes and / or requirements);the customer does not define the real objectives of the project
917;Moving targets (changing goals, business processes and / or requirements);Volatility of stakeholders
918;Moving targets (changing goals, business processes and / or requirements);The process is not standardized, it is very volatile
923;Moving targets (changing goals, business processes and / or requirements);change in legislation - change in coordination in the client - low client commitment to IT
930;Moving targets (changing goals, business processes and / or requirements);The customer changes the scope of the requirement during development
932;Moving targets (changing goals, business processes and / or requirements);When we are halfway, a more important priority emerges
933;Moving targets (changing goals, business processes and / or requirements);last minute requirements change.
947;Moving targets (changing goals, business processes and / or requirements);if something does not work immediately, customers move to other targets
