lfdn;problem;reason
1168;Incomplete or hidden requirements;LAST MINUTE PROJECT MODIFICATIONS 
1189;Incomplete or hidden requirements;rework
1194;Incomplete or hidden requirements;"grater incident resolution times; It arises the need to incorporate stabilizing iterations"
1223;Incomplete or hidden requirements;Time delay
1279;Incomplete or hidden requirements;Similar to weak knowledge of customer domain
1289;Incomplete or hidden requirements;Project delay and budget overrun. Expensive iterations to meet target
1290;Incomplete or hidden requirements;Longer Development and Testing
1316;Incomplete or hidden requirements;implementation estimates are not accurate
1331;Incomplete or hidden requirements;constant design changes and impacts in developing and testing
1341;Incomplete or hidden requirements;LACK OF training
1349;Incomplete or hidden requirements;DEVELOPMENT do NOt Adhere to necesities
1352;Incomplete or hidden requirements;IMPLEMENTATION TIME (DELAY)
1358;Incomplete or hidden requirements;INCOMPLETE or UNKNOWN REQUIREMENTS
1359;Incomplete or hidden requirements;MALFUNCTIONS
1383;Incomplete or hidden requirements;More than anything, delays.
1402;Incomplete or hidden requirements;Wasted effort eliciting, frustration on behalf of sales/marketing when queried
1403;Incomplete or hidden requirements;"further project delay; change of design descisions/architecture"
1411;Incomplete or hidden requirements;prod issues
1413;Incomplete or hidden requirements;Product failures
1416;Incomplete or hidden requirements;bad scope ESTIMATion
1426;Incomplete or hidden requirements;"development needs many iterations to be finished; increased effort"
1433;Incomplete or hidden requirements;REQUIREMENTS ARE NOT ATOMIC
1435;Incomplete or hidden requirements;INCOMPLETE PRODUCTS
1457;Incomplete or hidden requirements;CHANGE CONTROL
1459;Incomplete or hidden requirements;REWORK
1462;Incomplete or hidden requirements;THE SOFTWARE does not meet the NEEDS
1466;Incomplete or hidden requirements;Delivery delays and/or requirements not fully met.
1467;Incomplete or hidden requirements;rework
1482;Incomplete or hidden requirements;SOFTWARE DOES NOT WORK PROPERLY
1483;Incomplete or hidden requirements;DELAYED TIMELINE
1560;Incomplete or hidden requirements;missing customer expectations
1617;Incomplete or hidden requirements;Slip of delivery dates, overtimes, overwork of a team
1621;Incomplete or hidden requirements;Bad requirements, no prioritization, moving goal posts
1651;Incomplete or hidden requirements;Changes timeframes on projects dramatically
1668;Incomplete or hidden requirements;REQUIREMENTS poorly written
1670;Incomplete or hidden requirements;REQUIREMENTS poorly defined
1676;Incomplete or hidden requirements;this comes back to timeboxing any dependencies we have forgotten and  getting the work done , with the implication of having to come back later to properly fix or implement the previous story
1690;Incomplete or hidden requirements;Waste of resources DEVELOPERS time
1718;Incomplete or hidden requirements;software rework
1727;Incomplete or hidden requirements;LACK OF RESOURCES
1733;Incomplete or hidden requirements;> Development time
1741;Incomplete or hidden requirements;Understanding problems to late in the development process
1744;Incomplete or hidden requirements;Same
1753;Incomplete or hidden requirements;For us this means  unknown requirements , which in turn will or wont be implemented (chance). Customer becomes frustrated but usually they agree that unknown requirements are hard to deliver - i.e. next sprint the requirement is known, and managed...
1762;Incomplete or hidden requirements;"Losing time; Decrease the confidence level in the team; "
1763;Incomplete or hidden requirements;Makes estimation more difficult and uncertain.
1791;Incomplete or hidden requirements;asdf
1804;Incomplete or hidden requirements;Rework
1805;Incomplete or hidden requirements;Delaying releases
1810;Incomplete or hidden requirements;Unexpected delays in schedule
1812;Incomplete or hidden requirements;argument over cost later
1828;Incomplete or hidden requirements;wrong product design when creating solutions
1840;Incomplete or hidden requirements;same as the first
1849;Incomplete or hidden requirements;Unhappy end-uers
1894;Incomplete or hidden requirements;rework
1909;Incomplete or hidden requirements;"Lack of methodology; Poor use of resources; demotivation"
1917;Incomplete or hidden requirements;the same as above
1918;Incomplete or hidden requirements;Failure to achieve the goals.
1923;Incomplete or hidden requirements;Waste of time to redeploy requirements
1931;Incomplete or hidden requirements;Recurring reopening of resolved tasks
1932;Incomplete or hidden requirements;"failures in development, which leads to an increased effort; potential unnecessary interactions with the customer"
1933;Incomplete or hidden requirements;challenges in the actual deployment
1941;Incomplete or hidden requirements;Same as above
1961;Incomplete or hidden requirements;time wasted
1962;Incomplete or hidden requirements;"Lack of quality in implementation;"
1965;Incomplete or hidden requirements;Frustration / doubt in understanding of the project / additional effort
1969;Incomplete or hidden requirements;The system doesn't do what it needs to do.
93;Inconsistent requirements;"time-consuming in elicitation and explanation; unnecessary changes/work"
119;Inconsistent requirements;missing features
179;Inconsistent requirements;Requirements that do not work to solve the problem
199;Inconsistent requirements;Failures in qualification and rework.  Also causes rework of the products being backfilled.
263;Inconsistent requirements;"many change requests; late testing; long evelopment cycles"
268;Inconsistent requirements;Less time to write requirements
283;Inconsistent requirements;well developed and tested area's of the product vs weaker area's
304;Inconsistent requirements;"misunderstanding; wrong implementation"
359;Inconsistent requirements;Lack of ability to listen to requirements from customers
370;Inconsistent requirements;redo of development
372;Inconsistent requirements;The system can only partially achieve its business goals
482;Inconsistent requirements;More rework 
523;Inconsistent requirements;The final product turns out not to be what the customer wants
539;Inconsistent requirements;Slower design times
549;Inconsistent requirements;Delivered results may not be 100% what is required leading to repeat development
754;Inconsistent requirements;no
868;Inconsistent requirements;rework
870;Inconsistent requirements;Product out of specification
879;Inconsistent requirements;Rework.
910;Inconsistent requirements;System with the unwanted quality 
916;Inconsistent requirements;Product with low quality
917;Inconsistent requirements;Rework
921;Inconsistent requirements;Impact on development
923;Inconsistent requirements;rework of the development team
924;Inconsistent requirements;rework
929;Inconsistent requirements;Creation of unsuitable products
933;Inconsistent requirements;final product insufficient and unsatisfactory.
945;Inconsistent requirements;software delivery with features that do not meet the goal
952;Inconsistent requirements;requirements/scope not define
1011;Inconsistent requirements;"delayed completion of project;repeated re-development of certain modules"
1012;Inconsistent requirements;Multiple Testruns
1021;Inconsistent requirements;structural and functional errors
1051;Inconsistent requirements;Doubts at later stages
1064;Inconsistent requirements;Project delays
1066;Inconsistent requirements;chaos on the project, schedule delays, cost overrun
1070;Inconsistent requirements;conflicts, discussions, delay
1079;Inconsistent requirements;Rework
1091;Inconsistent requirements;Deliveries with problems
1097;Inconsistent requirements;system modules have compatibility issues
1118;Inconsistent requirements;The same above
1122;Inconsistent requirements;Errors at the time of delivery and mismatch features
1124;Inconsistent requirements;It will generate rework and / or inconsistent records between different areas.
1126;Inconsistent requirements;"Product delivered without the necessary quality or with quality that is different from the expected; Unsatisfied client; Increased project development costs; Delays in deliveries;"
1159;Inconsistent requirements;failures IN THE PROJECT
1168;Inconsistent requirements;FUNCTIONALITY IS NOT EXPECTED by the CUSTOMER
1194;Inconsistent requirements;"Requirements explosion in the backlog; delaying the release to resolve related requirements"
1239;Inconsistent requirements;lost time due to endless discussions (often after implementation) and rework
1283;Inconsistent requirements;Delays in time to market
1316;Inconsistent requirements;redesign of various parts of functionality 
1349;Inconsistent requirements;CUSTOMER DISSATISFACTION
1350;Inconsistent requirements;THE SOFTWARE DOES NOT WORK
1352;Inconsistent requirements;USERS dissatisfaction
1355;Inconsistent requirements;PRODUCT DEVELOPMENT IS OUT OF CONTEXT OF thier NEEDS
1402;Inconsistent requirements;Product manager spends too much time clarifying issues that should have been addressed earlier in the process
1403;Inconsistent requirements;"overtimes; stress; "
1406;Inconsistent requirements;Misunderstandings
1426;Inconsistent requirements;increased communications effort
1435;Inconsistent requirements;PRODUCTS WITH DIFFERENT CAPABILITIES
1457;Inconsistent requirements;reworks
1458;Inconsistent requirements;NO CLEAR GOALS
1462;Inconsistent requirements;The customer is unsatisfied
1482;Inconsistent requirements;SOFTWARE DOES NOT WORK PROPERLY
1560;Inconsistent requirements;project implementation delays while trying to understand needs at later phases
1617;Inconsistent requirements;Does not help to baseline project requirements
1624;Inconsistent requirements;wastage on throw away projects
1650;Inconsistent requirements;Time
1668;Inconsistent requirements;REQUIREMENTS misunderstanding
1670;Inconsistent requirements;requirement misunderstanding
1675;Inconsistent requirements;Incorrectly implemented features
1727;Inconsistent requirements;COMMUNICATION PROBLEMS
1733;Inconsistent requirements;> Development time
1759;Inconsistent requirements;not all requirements can even theoretically be implemented
1804;Inconsistent requirements;Rework
1805;Inconsistent requirements;problems to develop a consistent application
1810;Inconsistent requirements;Arbitrarily choosing one solution, hoping its the best one.
1828;Inconsistent requirements;wrong product design when creating solutions
1911;Inconsistent requirements;reiterations to clarify issues
1917;Inconsistent requirements;the same as above
1933;Inconsistent requirements;challenges in the actual deployment
106;Insufficient support by customer;Unclear requirements
160;Insufficient support by customer;incomplete or wring details
179;Insufficient support by customer;hidden requirements
213;Insufficient support by customer;Delays, incorrect requirements
278;Insufficient support by customer;Insufficient requirement specification, Incorrect requirement specification
310;Insufficient support by customer;downtimes
364;Insufficient support by customer;"project takes twice as long as previously planned; budget increases; everybody is annoyed"
377;Insufficient support by customer;Poor quality requirements
425;Insufficient support by customer;Customer does not tell what he need.
427;Insufficient support by customer;More rework required to fulfill business needs and deliver the right value
468;Insufficient support by customer;Incorrect implementations that do not meet the customer needs
512;Insufficient support by customer;business value not added to product
518;Insufficient support by customer;Delays the final product
539;Insufficient support by customer;lack of information when defining specifications
676;Insufficient support by customer;deadlines are delayed
710;Insufficient support by customer;risk of not building the right product
722;Insufficient support by customer;Unlikely system will suit the customer's needs
740;Insufficient support by customer;Dead times
851;Insufficient support by customer;Initial elicitation failures (first iteration cycles)
856;Insufficient support by customer;response time is not good
912;Insufficient support by customer;"Progress delayed; requirements hidden; potential for some stakeholders to be disenfranchised and/ or to avoid or subvert the project"
929;Insufficient support by customer;Lack of information necessary for the project
952;Insufficient support by customer;requirements/scope not define
958;Insufficient support by customer;Deadline for service demands are compromised
985;Insufficient support by customer;It generates certain inconsistencies or concerns that affect the final development of the project
997;Insufficient support by customer;delays at different stages of the project
1017;Insufficient support by customer;more investigation required by development team
1033;Insufficient support by customer;The gap causes the project to be developed only on assumptions and find shifts too late 
1051;Insufficient support by customer;Unsatisfactory product
1080;Insufficient support by customer;Delays and even cancellation of the project.
1091;Insufficient support by customer;project does not progress
1100;Insufficient support by customer;Rework
1114;Insufficient support by customer;Rework
1126;Insufficient support by customer;"Discontent of those involved; Delays in deliveries; Product delivered different than expected;"
1204;Insufficient support by customer;Unknowns left to end of project to resolve
1204;Insufficient support by customer;Unclear answers to questions
1283;Insufficient support by customer;Delays in time to market
1291;Insufficient support by customer;"Customer will have no interest in the developed product; No precalculation possible"
1354;Insufficient support by customer;FATIGUE
1416;Insufficient support by customer;ANTICIPATED END OF CONTRACT
1419;Insufficient support by customer;LACK OF problem resolution
1441;Insufficient support by customer;Late changes
1454;Insufficient support by customer;FATIGUE
1703;Insufficient support by customer;Too many changes
1705;Insufficient support by customer;MISSING OR UNFINISHED REQUIREMENTS
1723;Insufficient support by customer;Impatience of the CUSTOMER
1742;Insufficient support by customer;busted timeschedules
1820;Insufficient support by customer;The connection is badly made
1842;Insufficient support by customer;"Implementation of a project that is not exactly what the client wants; poor use of the software by the customer - since it does not answer all their needs; in the case of ISVs, reduced sales; need for new changes"
1844;Insufficient support by customer;less adequacy of the product to the customer
1933;Insufficient support by customer;challenges in the actual deployment
35;Insufficient support by project lead;"lack of experience in software develoment; lack of experience in digital companies (4.0)"
160;Insufficient support by project lead;less or no RE :-(
163;Insufficient support by project lead;significant project delays because needed decisions on direction not made or communicated
199;Insufficient support by project lead;Support for skipped development steps.  Backfilling later.
203;Insufficient support by project lead;I was not sure about that.
203;Insufficient support by project lead;I was not sure about that.
203;Insufficient support by project lead;I was not sure about that.
203;Insufficient support by project lead;I was not sure about that.
203;Insufficient support by project lead;I was not sure about that.
268;Insufficient support by project lead;Project lead is overworked 
278;Insufficient support by project lead;Lose sight of direction
420;Insufficient support by project lead;stops in project because of late decisions
468;Insufficient support by project lead;Team without motivation, which leads to a productivity decline.
661;Insufficient support by project lead;People do not know each other
825;Insufficient support by project lead;"Struggle to get a good pace going; Lag times while waiting for team members and/or the lead to complete certain tasks; Needing to fight for basic BA tasks to be completed"
865;Insufficient support by project lead;Difficulty in the progress of the project
909;Insufficient support by project lead;Inaccuracy in the identification and specification of requirements
945;Insufficient support by project lead;Possible failure of the project, high cost to complete the project
1111;Insufficient support by project lead;pressure and mistakes
1139;Insufficient support by project lead;More responsabilities for the responsables of quality and testing
1141;Insufficient support by project lead;wrong project planning
1171;Insufficient support by project lead;Unfamiliarity with the process
1229;Insufficient support by project lead;Without the support of the project responsible it can be frustrating because it do not have enough momentum
1341;Insufficient support by project lead;INSUFFICIENT BUDGET
1350;Insufficient support by project lead;THE SOFTWARE DOES NOT MEET REQUIREMENTS
1354;Insufficient support by project lead;LACK OF commitment
1413;Insufficient support by project lead;PRODUCT DOMAIN FAILURES 
1419;Insufficient support by project lead;CONFLICTS IN THE TEAM
1458;Insufficient support by project lead;NO SUPPORT
1620;Insufficient support by project lead;Lowers morale and execution of project. 
1695;Insufficient support by project lead;increases THE EFFORT of technical and economic STAFF
1698;Insufficient support by project lead;NO CLEAR RULES
1703;Insufficient support by project lead;lack of team communication
1763;Insufficient support by project lead;combined with the above makes for more time spent investigating instead of actually implementing.
41;Missing traceability;Again, this simply makes the process of creating the software harder. It will have no effect on the final product.
119;Missing traceability;"dont know if a requirement is implemented; dont know if implementation meets any requirements"
163;Missing traceability;Customer identified needs/business level requirements not met
182;Missing traceability;Whether the product meets quality requirements 
205;Missing traceability;no one notices or cares
283;Missing traceability;test coverage unknown
297;Missing traceability;Wrong implementation
341;Missing traceability;Adapting to new needs
387;Missing traceability;"Lack of effectivity of test cases;risk based testing is not applicable."
427;Missing traceability;Quality issues could go undetected
479;Missing traceability;Tool-Support
502;Missing traceability;"Not knowing why something was changed; Outdated requirements"
637;Missing traceability;Hard to find where from the requirement originated.
710;Missing traceability;risk of hidden bugs due to the difficulty of understanding the full impact of changes,difficulty of maintaining test cases
719;Missing traceability;It is not known where the error occurred
786;Missing traceability;Faults are not resolved.
864;Missing traceability;Difficulty in answering the requirements attest
910;Missing traceability;Difficulty in correcting problems
916;Missing traceability;impact on changes
924;Missing traceability;rework
952;Missing traceability;requirements/scope not define
959;Missing traceability;Errors generated and not detected in related functionality
984;Missing traceability;Lack of trust in team and contractor
987;Missing traceability;more time required
1010;Missing traceability;Missing/skipping process steps
1012;Missing traceability;More work to archive compatibility
1065;Missing traceability;Everything takes more time
1080;Missing traceability;redundant information and impact on the implementation of solutions.
1097;Missing traceability;Difficulty in identifying the need for particular behavior or characterístic
1100;Missing traceability;Rework
1105;Missing traceability;Reusing test
1163;Missing traceability;Losing time
1187;Missing traceability;Requierimientos shelved
1207;Missing traceability;Inability to understand the decision chain at the later stages (e.g. in maintenance)
1360;Missing traceability;THE SYSTEM SHOULD BE MODIFIED
1406;Missing traceability;Changes are not fully performed
1435;Missing traceability;PROJECT LATE DELIVERY 
1454;Missing traceability;TEAM lack of motivation
1486;Missing traceability;Difficult for new members to join and  read up 
1697;Missing traceability;Errors and wasting time in development.
1718;Missing traceability;"problems triaging bugs; extra communication to help people understand requirements"
1727;Missing traceability;USERS WITHOUT KNOWLEDGE
1804;Missing traceability;"No track of information; Loss of information"
1820;Missing traceability;Difficulty in recovering from failures
1933;Missing traceability;challenges in the actual deployment
35;Moving targets (changing goals, business processes and / or requirements);inmature customer industry
76;Moving targets (changing goals, business processes and / or requirements);"Redefinition of project scope; re-evaluation of needs and requirements"
93;Moving targets (changing goals, business processes and / or requirements);"stand still in production; building and rebuilding of functionality which is only sparely used"
119;Moving targets (changing goals, business processes and / or requirements);frustration at timescale changse
126;Moving targets (changing goals, business processes and / or requirements);Risk for the dev
147;Moving targets (changing goals, business processes and / or requirements);Rework
149;Moving targets (changing goals, business processes and / or requirements);inefficient
165;Moving targets (changing goals, business processes and / or requirements);delays, budget overruns, sometimes reduction of deliverable performance (rarely)
168;Moving targets (changing goals, business processes and / or requirements);Some projects get started without a clear purpose.
188;Moving targets (changing goals, business processes and / or requirements);"Delays in development; Demotivation in Dev Team"
205;Moving targets (changing goals, business processes and / or requirements);Scope-creep at high speed
239;Moving targets (changing goals, business processes and / or requirements);Time and effort spent in unneeded features
259;Moving targets (changing goals, business processes and / or requirements);Hierarchical relationship
291;Moving targets (changing goals, business processes and / or requirements);No focus, so it's hard to get things done
297;Moving targets (changing goals, business processes and / or requirements);Bad quality and reliability
310;Moving targets (changing goals, business processes and / or requirements);double workload
330;Moving targets (changing goals, business processes and / or requirements);management of expectations, delays, costs
355;Moving targets (changing goals, business processes and / or requirements);time critical
364;Moving targets (changing goals, business processes and / or requirements);"project takes twice as long as previously planned; budget increases; everybody is annoyed"
370;Moving targets (changing goals, business processes and / or requirements);"frustration; work not done or incomplete"
377;Moving targets (changing goals, business processes and / or requirements);Delivery timescales affected
384;Moving targets (changing goals, business processes and / or requirements);"ROI for software development will not reached; development cost increase; time to market increases"
387;Moving targets (changing goals, business processes and / or requirements);"Increase of effort in testing;bad motivation of test team."
393;Moving targets (changing goals, business processes and / or requirements);many changes
425;Moving targets (changing goals, business processes and / or requirements);Customer does not get what he need in time.
437;Moving targets (changing goals, business processes and / or requirements);rework
442;Moving targets (changing goals, business processes and / or requirements);projects take time to see the light. What is published must be complete
453;Moving targets (changing goals, business processes and / or requirements);redoing things
467;Moving targets (changing goals, business processes and / or requirements);scope, cost, quality, or time are changed
482;Moving targets (changing goals, business processes and / or requirements);Less efficiency, rework , more time 
485;Moving targets (changing goals, business processes and / or requirements);poor code quality
511;Moving targets (changing goals, business processes and / or requirements);Delays, requires buffers in schedules that are hard to predict
545;Moving targets (changing goals, business processes and / or requirements);?
626;Moving targets (changing goals, business processes and / or requirements);Change requests
640;Moving targets (changing goals, business processes and / or requirements);"partial or incomplete documentation; lack of accountability"
661;Moving targets (changing goals, business processes and / or requirements);The project is extended
663;Moving targets (changing goals, business processes and / or requirements);Implication to quality in case of requirements and deveolping
710;Moving targets (changing goals, business processes and / or requirements);rework, missed deadlines, running over budget
722;Moving targets (changing goals, business processes and / or requirements);Lot of rework, thus missing deadlines
729;Moving targets (changing goals, business processes and / or requirements);Update of plans, with longer development, increased requests for changes
742;Moving targets (changing goals, business processes and / or requirements);Rework, work done unnecessarily 
758;Moving targets (changing goals, business processes and / or requirements);Team takes some time to adapt to new requirements
849;Moving targets (changing goals, business processes and / or requirements);team without aim when making decision that could impact the business
851;Moving targets (changing goals, business processes and / or requirements);project delays
856;Moving targets (changing goals, business processes and / or requirements);Rework specification and implementation
865;Moving targets (changing goals, business processes and / or requirements);Rework
876;Moving targets (changing goals, business processes and / or requirements);the system takes  time to go into production
880;Moving targets (changing goals, business processes and / or requirements);Rework.
916;Moving targets (changing goals, business processes and / or requirements);Lack of vision of what the product should become
917;Moving targets (changing goals, business processes and / or requirements);Rework
923;Moving targets (changing goals, business processes and / or requirements);changing hindering delivery of the product
930;Moving targets (changing goals, business processes and / or requirements);demands design and development rework
932;Moving targets (changing goals, business processes and / or requirements);Stops productivity
933;Moving targets (changing goals, business processes and / or requirements);Last-minute changes compromise the initial architecture of the project.
937;Moving targets (changing goals, business processes and / or requirements);Projects does not finish
947;Moving targets (changing goals, business processes and / or requirements);false/incomplete things are implemented
984;Moving targets (changing goals, business processes and / or requirements);Lack of time and precision
985;Moving targets (changing goals, business processes and / or requirements);Constantly changing during development time
990;Moving targets (changing goals, business processes and / or requirements);Instability in the information flow
1006;Moving targets (changing goals, business processes and / or requirements);Unnecessary work
1010;Moving targets (changing goals, business processes and / or requirements);Missing/skipping process steps
1011;Moving targets (changing goals, business processes and / or requirements);"repeated re-development of certain modules;increasing costs;increasing project runtimes"
1033;Moving targets (changing goals, business processes and / or requirements);If it is not adaptive, we are still working focused on immutable definitions from months ago and that waste the accumulated learning at every step
1069;Moving targets (changing goals, business processes and / or requirements);group initiatives
1070;Moving targets (changing goals, business processes and / or requirements);conflicts, discussions, delay
1105;Moving targets (changing goals, business processes and / or requirements);Lack of test coverage
1161;Moving targets (changing goals, business processes and / or requirements);CHANGE OF SCHEDULES
1163;Moving targets (changing goals, business processes and / or requirements);Demotivation
1187;Moving targets (changing goals, business processes and / or requirements);"Change of objectives; waste of time and change of direction"
1194;Moving targets (changing goals, business processes and / or requirements);Greater effort in code coverage tests with automáticasñ Major incident resolution times and updating test cases
1204;Moving targets (changing goals, business processes and / or requirements);Project overruns
1238;Moving targets (changing goals, business processes and / or requirements);Delays in deliveries by multiple re-definition and re-work
1239;Moving targets (changing goals, business processes and / or requirements);"lost time due to rework; unclear goals bad for morale"
1266;Moving targets (changing goals, business processes and / or requirements);contract change with the implementation of new devices to the contract.
1279;Moving targets (changing goals, business processes and / or requirements);Potentially addressing a problem that becomes non-applicable due to technology changes
1283;Moving targets (changing goals, business processes and / or requirements);Delays in time to market
1290;Moving targets (changing goals, business processes and / or requirements);Longer Development and Testing
1290;Moving targets (changing goals, business processes and / or requirements);Longer Development and Testing
1296;Moving targets (changing goals, business processes and / or requirements);Can't achieve targets that arrive late
1316;Moving targets (changing goals, business processes and / or requirements);roadmap changes
1327;Moving targets (changing goals, business processes and / or requirements);Time and cost drivers.
1331;Moving targets (changing goals, business processes and / or requirements);constant design changes and impacts in developing and testing
1349;Moving targets (changing goals, business processes and / or requirements);PROBLEMS BETWEEN THE manager AND the CUSTOMER
1351;Moving targets (changing goals, business processes and / or requirements);NO CLEAR COMMUNICATIONS BETWEEN Customer AND DEVELOPER
1402;Moving targets (changing goals, business processes and / or requirements);Marketing not understanding what provides customer value vs. something that look sexy but is confusing to the customer
1406;Moving targets (changing goals, business processes and / or requirements);Requirements are written late as they would otherwise change all the time
1441;Moving targets (changing goals, business processes and / or requirements);waste of effort
1454;Moving targets (changing goals, business processes and / or requirements);NONEXISTENT CLEAR GOALS
1455;Moving targets (changing goals, business processes and / or requirements);LACK OF DOCUMENTATION
1459;Moving targets (changing goals, business processes and / or requirements);They HAVE TO MAKE the same functionality SEVERAL TIMES UNTIL it works
1466;Moving targets (changing goals, business processes and / or requirements);Frustration and lack of quality as things are abandoned for long periods. Wasted time and effort for things that are abandoned permanently.
1467;Moving targets (changing goals, business processes and / or requirements);cause rework
1486;Moving targets (changing goals, business processes and / or requirements);Distracted team with lack of focus
1651;Moving targets (changing goals, business processes and / or requirements);Stakeholder confusion over co-ordination of project dependencies and project timings
1675;Moving targets (changing goals, business processes and / or requirements);"‘Change fatigue’ within the team; low morale"
1690;Moving targets (changing goals, business processes and / or requirements);PROJECTs NOt concretized
1703;Moving targets (changing goals, business processes and / or requirements);LITTLE buffer TIME in reality
1733;Moving targets (changing goals, business processes and / or requirements);> Development time
1741;Moving targets (changing goals, business processes and / or requirements);Too little time to solve problems
1742;Moving targets (changing goals, business processes and / or requirements);"busted budget; re-engeneering of solution; busted timeschedules;"
1753;Moving targets (changing goals, business processes and / or requirements);Reimplementation of already delivered functions. Project delay. The product is able to change and thus we are able to follow requirement changes well (it only takes more time)
1761;Moving targets (changing goals, business processes and / or requirements);Take one small step at a time 
1762;Moving targets (changing goals, business processes and / or requirements);"Losing time; Decrease the confidence level in the team; "
1805;Moving targets (changing goals, business processes and / or requirements);frustration
1820;Moving targets (changing goals, business processes and / or requirements);mismanagement
1840;Moving targets (changing goals, business processes and / or requirements);waste of time which is bad due to it is time critical
1894;Moving targets (changing goals, business processes and / or requirements);Waste of time for teams
1896;Moving targets (changing goals, business processes and / or requirements);Surpassing the time estimations
1909;Moving targets (changing goals, business processes and / or requirements);"Lack of methodology; Poor use of resources; demotivation"
1918;Moving targets (changing goals, business processes and / or requirements);Failure to achieve the goals.
1923;Moving targets (changing goals, business processes and / or requirements);Waste of time to redeploy requirements
1965;Moving targets (changing goals, business processes and / or requirements);extra effort
41;Stakeholders with difficulties in separating requirements from previously known solution designs;This will have no effect on the final product, but it may decrease customer satisfaction initially.
76;Stakeholders with difficulties in separating requirements from previously known solution designs;"Education process in place; reiteration of focus"
91;Stakeholders with difficulties in separating requirements from previously known solution designs;unclear requirements
120;Stakeholders with difficulties in separating requirements from previously known solution designs;Risk of overconstraining design
141;Stakeholders with difficulties in separating requirements from previously known solution designs;requirements working sessions go off on tangents
144;Stakeholders with difficulties in separating requirements from previously known solution designs;this significantly constrains our ability to solve the underlying business problem
149;Stakeholders with difficulties in separating requirements from previously known solution designs;fixing bad designs instead of finding the best solution
160;Stakeholders with difficulties in separating requirements from previously known solution designs;customers often design the solution and then its hard to discuss another possibility
166;Stakeholders with difficulties in separating requirements from previously known solution designs;disorganization
167;Stakeholders with difficulties in separating requirements from previously known solution designs;mediocre solution
205;Stakeholders with difficulties in separating requirements from previously known solution designs;"waste BAs time; make irrational decisions"
208;Stakeholders with difficulties in separating requirements from previously known solution designs;"conflicting with NFRs;usability  wars  between stakeholders of different IT-affinities"
217;Stakeholders with difficulties in separating requirements from previously known solution designs;unclear requirements
313;Stakeholders with difficulties in separating requirements from previously known solution designs;This can result in undesired features being accidentally carried over from other projects.  In past projects development was very painful as I encountered a developer who insisted the requirements were 'wrong' because 'that's not what the software does'.
332;Stakeholders with difficulties in separating requirements from previously known solution designs;the Req Engineers need to challange the stakeholders, that requires a strong character of the RE
370;Stakeholders with difficulties in separating requirements from previously known solution designs;frustration
384;Stakeholders with difficulties in separating requirements from previously known solution designs;reduced efficiency of new development since it needs to accommodate  old  technology thinking
393;Stakeholders with difficulties in separating requirements from previously known solution designs;"no real business value from the new application; hard transition"
442;Stakeholders with difficulties in separating requirements from previously known solution designs;It is difficult to convince to accept radical changes in terms of how to do things
446;Stakeholders with difficulties in separating requirements from previously known solution designs;delivery impact
482;Stakeholders with difficulties in separating requirements from previously known solution designs;Less efficiency 
525;Stakeholders with difficulties in separating requirements from previously known solution designs;implementing  old type  solutions
586;Stakeholders with difficulties in separating requirements from previously known solution designs;Not having the same picture of what to be delivered or how
649;Stakeholders with difficulties in separating requirements from previously known solution designs;unrealistc expectations
723;Stakeholders with difficulties in separating requirements from previously known solution designs;stop
729;Stakeholders with difficulties in separating requirements from previously known solution designs;In some cases it led to present two different solutions (with prototypes), so that the user may select (what the user had requested, and what the team of project considered that could be the best solution)
754;Stakeholders with difficulties in separating requirements from previously known solution designs;yes 
819;Stakeholders with difficulties in separating requirements from previously known solution designs;There is no improvement in systems
847;Stakeholders with difficulties in separating requirements from previously known solution designs;Gold plated and solutions erroneously delivered that could be delivered in much cheaper way 
849;Stakeholders with difficulties in separating requirements from previously known solution designs;lack of focus on what the company can provide value
851;Stakeholders with difficulties in separating requirements from previously known solution designs;"Lack of commitment; development boycott"
864;Stakeholders with difficulties in separating requirements from previously known solution designs;Excessive rework in requirements definition
870;Stakeholders with difficulties in separating requirements from previously known solution designs;Product out of specification
879;Stakeholders with difficulties in separating requirements from previously known solution designs;Solution with many limitations.
901;Stakeholders with difficulties in separating requirements from previously known solution designs;"Faulty delivery ; rework"
912;Stakeholders with difficulties in separating requirements from previously known solution designs;Can derail workshops if not carefully managed
921;Stakeholders with difficulties in separating requirements from previously known solution designs;Impact on development
928;Stakeholders with difficulties in separating requirements from previously known solution designs;We will continue with the same culture and the same problems.
930;Stakeholders with difficulties in separating requirements from previously known solution designs;design of best solution is compromised
958;Stakeholders with difficulties in separating requirements from previously known solution designs;Lack of prioritization of requirements
997;Stakeholders with difficulties in separating requirements from previously known solution designs;poor usability, user complaints, feeling of stagnation in time
1017;Stakeholders with difficulties in separating requirements from previously known solution designs;more discussion between teams to reach consensus
1055;Stakeholders with difficulties in separating requirements from previously known solution designs;more value could be added to users
1065;Stakeholders with difficulties in separating requirements from previously known solution designs;More discussions with stakeholders are required
1066;Stakeholders with difficulties in separating requirements from previously known solution designs;chaos on the project, schedule delays, cost overrun
1069;Stakeholders with difficulties in separating requirements from previously known solution designs;aware stakeholders with the benefits of the new changes 
1079;Stakeholders with difficulties in separating requirements from previously known solution designs;Rework
1082;Stakeholders with difficulties in separating requirements from previously known solution designs;Implies no commitment
1097;Stakeholders with difficulties in separating requirements from previously known solution designs;Client does not identify what is needed in the process and what is practical legacy
1105;Stakeholders with difficulties in separating requirements from previously known solution designs;Lack of coverage in the tests
