lfdn;v_169;tag;category
1753;Our requirement handling (and other processes) are a result from many years of agile working in the project. Our requirement handling (and other processes), are therefore refined continously in each sprint (at sprint retrospective), and is therefore quite effective now. We are able to specify, communicate and test our requirements continously, automatically and to our customers satisfaction, which we feel is satisfying.;teamCommuncationSane;people
1756;Yes. It's not perfect but it works.;notCodable;notCodable
1759;It's a small and informal project, so an informal backlog works well;processLightweight;process
1761;We do small iterations and prototyping, this lower the risk and cost ;processLightweight;process
1812;The requirements are captured early and are considered flexible thus changeable except where it is agreed to be a major change - appraoch works well;feedbackLoops;process
1820;The only downside is the amount of bureaucracy;notCodable;notCodable
1842;"I chose the option ""satisfied"" and not ""very satisfied"" as the question indicates. I am satisfied because the documentation / management of requirements is done in a very light, allowing the team to not waste too much time with the requirements and spend more time implementing";processLightweight;process
1844;Because there is a methodology that is followed by all, which allows the parties to have a better understanding.;processStructured;process
1849;We have good relationships with the end-users and we validate our deliverables with them at each sprint review.;stakeholderRelationshipSane;people
1849;We have good relationships with the end-users and we validate our deliverables with them at each sprint review.;stakeholderInvolvement;people
1861;Our project is customer facing and is metrics driven, all features are tested and decision to ship them is driven by growing metrics.;stakeholderInvolvement;people
1894;It has produced good results, at an interesting pace.;processImplementedStraightforward;process
1917;We believe there is always space to improve.;notCodable;notCodable
1918;The features are well documented and estimated and always up-to-date. It is possible to trace from the source to the implementation details;documentationClear;product
1941;It works well and we have not had problems;notCodable;notCodable
1957;It enables us to plan;notCodable;notCodable
1963;x;notCodable;notCodable
1969;As an experienced consultant, I have the luxury of being able to choose my projects carefully.  When I start a project I clearly state what I believe to be the minimum level of requirements engineering and specification.  If the customer exceeds my expectations, no problem.  If it does not, I work hard to convince them to improve their requirements elicitation processes and I put a lot of energy into helping them.  If after a reasonable period (usually a few months) they haven't made movement in a positive direction, I leave the project.  In my experience, the key cause of project failure is poorly defined requirements.  I no longer  need the experience  so I do not stay with projects that have a low probability of success.;stakeholderInvolvement;people
